user_name,is_expert_reviewer,user_level,user_id,skin_types,age_range,is_repurchase,is_recommended,star_effectiveness,star_packaging,star_texture,star_value_for_money,source,created_at,total_likes,is_verified_purchase,details,duration_of_used,product_id,product_name,product_size,_source_file
noerjihan15,False,Rising Star,634943cc89e825001f935236,Kulit Kombinasi;Pori Besar,25 - 29 th,yes,yes,5.0,5,5.0,5,review-ios,2022-10-16T03:18:49.767Z,0,True,"Kecintaan akuh cosrx series snail, aku kulitnya dry sensitif, kalau yang merk lain di aku pake banyak itu bisa bikin kulit rewel, tapi ini ga sama skali, enaaak pokonya, pake sebelum tidur apa lagi, pas bangun rasanya waww, kulit aku sangat sehat berkat cosrx.Satu jar ini bisa berbulanbulan",More than 1 Year,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
MawarAuliaaaa,False,SOCO Star,616f9ae1eb366e6616f82f56,,19 - 24 th,maybe,yes,4.0,5,4.0,4,review-android,2022-10-15T04:15:21.738Z,0,True,"Honsetly terlalu berekspetasi tinggi sama produk ini, saya kira emang bakal bisa sengelembapin itu dikulit saya karena liat dari review orang-orang, mungkin emang kulit saya nya yang terlalu kering atau emang saya nya juga yang merasa kurang sama tekstur pelembab ini",1 Week - 1 Month,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
YentySeriwiyanti,False,SOCO Star,5f755c8185a1d09a344f98d2,Kulit Kering,,yes,yes,5.0,4,5.0,5,review-android,2022-10-15T02:56:50.028Z,0,True,"Baru 2x pemakaian jd blm tahu sejauh mana efektifitas nya. Kesan pemakaian pertama sangat puas, kulit wajah terasa halus, lembab. katanya siii bs untuk anti aging jg, we'll  see",Less than 1 Week,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
ndaysk,False,Super Star,5fc8f6745045b32e4bddb639,Kulit Kering,< 18 th,yes,yes,5.0,5,5.0,4,review-android,2022-10-14T07:51:48.100Z,0,True,"teksturnya enak banget, cocok juga buat kulit kering, udah repurchase berkali-kali dan gapernah nyoba"" moist yang lain lagi karena udh seenak ituu 🥺❤❤",6 Months - 1 Year,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
ranrose,False,Super Star,62301d29491c160cc5447e34,Kulit Kombinasi;Jerawat;Flek;Kulit Kusam,25 - 29 th,yes,yes,5.0,5,5.0,5,review-android,2022-10-14T00:08:43.682Z,0,True,"Sudah lama pakai rangkaian produk Cosrx snail ini. Benar2 bikin kulit aku jd lebih sehat, lembut, bahkan skrg jd jarang jerawatan. Bakalan terus repurchase terutama kalau lg diskon hehe",6 Months - 1 Year,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
fiolafiola,False,Super Star,5c1bdaaba58a717e22c85f6b,Kulit Normal;Kulit Kombinasi;Dark Circle;Komedo,25 - 29 th,yes,yes,5.0,4,5.0,5,review-android,2022-10-13T02:17:01.173Z,0,True,Moisturizer yang sangat bantu memperbaiki skin barrierku yang rusak. Harganya sesuai dgn kualitas dan isinya banyak. Minus di packaging jadi kurang higenis.,3 - 6 Months,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
AyyaAssagaf,False,Super Star,5c1abb293b351a3320ef5f0f,Kulit Normal;Aging;Flek;Pori Besar;Kantung Mata;Komedo,30 - 34 th,yes,yes,5.0,2,4.0,5,review-android,2022-10-12T23:56:00.022Z,0,True,"Ini aku pakai 2 mingguan udah keliatan masa efeknya. Flek flek bekas jerawat memudar gitu gak langsung ilang tapi memudar, muka jadi lebih cerah. Ini sayang banget sih tempatnya tube gitu jadi kurang higienis. Dan dia teksturnya krim tapi cair banget gitu jadi agak lama meresap ke mukanya.",1 - 3 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
Erlyindrian,False,Rising Star,5e28524b32c3d8c58b4c0371,Kulit Kering;Flek;Kantung Mata,19 - 24 th,yes,yes,5.0,5,5.0,4,review-ios,2022-10-12T04:02:03.463Z,0,True,"Sudah pakai ini dari 2020, gapernah ganti. Gatau udah botol ke berapa saking cintanya🥹🫶🏻. Bener-bener ngebantu bangett baikin skinbarier, pokoknya ttp setia sama cosrx!",More than 1 Year,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
shafalhatifah,False,Diva Star,5f1f0ba9340c544129e1fe2e,Kulit Kombinasi;Flek,19 - 24 th,yes,yes,5.0,5,5.0,5,review-ios,2022-10-11T08:29:49.870Z,1,True,"bagusssss banget, untuk yang kulitnya kering cocok banget pakai moisturizer ini, konsistrnsinya cukup lengket tapi kalau dibawa tidur paginya pasti langsung bagus, maaf foto tdk sesuai",1 - 3 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
Rafikaseptd,False,SOCO Star,632d8ed10b34121c51708716,,19 - 24 th,yes,yes,5.0,4,4.0,5,review-android,2022-10-11T07:52:25.189Z,0,True,bagus banget.. si snail mucin cream ini bangus banget buat ngeratain tekstur kulit. baru 2 minggu pemakaian udah kelihatan kulit jadi mulus bahkan glowing. cinta banget. cosrx bikin yg kemasan tube dong biar lebih higienis,1 Week - 1 Month,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
triadwiputriyuna,False,SOCO Star,62b7c8965077b0f2583f3979,Kulit Normal,35 - 39 th,yes,yes,5.0,5,5.0,5,review-android,2022-10-09T11:24:00.933Z,0,True,baru pertama kali coba pake ini. setelah hmpir 2blan pake kulit jadi  cerah dan lembab. tidak kering lagi. flek2 hitam jga sedikit memudar. itu pun ga rutin pake. kalo rutin mgkin lebih bagus,1 - 3 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
Mirdew,False,Rising Star,5c1aaeec3b351a3320c2be8d,Kulit Kombinasi;Dark Circle,19 - 24 th,yes,yes,3.0,2,4.0,2,review-ios,2022-10-09T03:01:56.902Z,0,True,sukak banget sama texture nya yang kentel bikin kulit kering ketarik jadi terhidrasi banget sampe besok paginya worth to try lumayan awet sih aku pake,More than 1 Year,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
sadindanur,False,Super Star,5e8835c4c56abf74a65dad70,Kulit Kering;Kulit Sensitif;Stretch Mark;Jerawat;Pori Besar;Kulit Kusam;Kantung Mata;Dark Circle;Komedo,19 - 24 th,yes,yes,5.0,5,5.0,5,review-ios,2022-10-08T14:01:43.202Z,0,True,"Moisturizer favoritku! Walaupun tekstur kental, tapi tetap nyaman dipakai dan menghidrasi banget. Bisa bikin kulit glowing dengan pemakaian rutin, apalagi dipasangkan dengan essence snail mucin juga!",3 - 6 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
mias747,False,Rising Star,5ed38f7df1ede42226496250,Kulit Berminyak;Kulit Kombinasi;Jerawat;Flek;Pori Besar;Kantung Mata,25 - 29 th,yes,yes,5.0,4,4.0,5,review-ios,2022-10-08T13:07:25.862Z,0,True,"Moisturizer favorite yang udah abis ber-jar2. bagus untuk recovery kulit yg berjerawat agar tidak bopeng. teksturnya agak slimy, jadi baiknya oles sedikit2 agar meresap.",More than 1 Year,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
devina3004,False,Super Star,5c1ac5763b351a332001ff13,Kulit Kombinasi;Jerawat;Pori Besar;Komedo,30 - 34 th,yes,yes,5.0,5,5.0,5,review-android,2022-10-08T08:03:36.862Z,0,True,"udah masuk tube ke 3 kynya pake moisturizer ini wkwkwk dgn harga 200rb an atau bahkan bs lbh murah dpt 100 ml sh bs kepake berbulan"" padahal dipake tiap malem, teksturnya sticky tp jd berasa lembab enak pas bangun tdr dan bantu pulihin bekas jerawat jg ✨",3 - 6 Months,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
dyahpurwaningrum,False,Super Star,5ed38145cc3ba3e815086840,Kulit Kombinasi;Stretch Mark;Pori Besar;Kantung Mata,> 40 th,maybe,yes,4.0,5,4.0,4,review-ios,2022-10-07T06:04:41.458Z,0,True,"Ini unit sih texture nya, lengket licin gitu, tapi pas dipake dingin dan cepat meresap. Bagus dipakai malam hari sebelum tidur, walau efek glowing gak ada tapi ini bikin kulit kayak sehat aja. Kalau mau full make-up makannya pake ini dulu hasil complexion nya jadi ngeset no geser2",1 Week - 1 Month,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
riasetyodinasty@gmail.com,False,Super Star,5c1ac5713b351a332001fa04,Kulit Kombinasi;Kulit Sensitif;Stretch Mark;Jerawat;Pori Besar;Komedo,35 - 39 th,yes,yes,5.0,5,5.0,5,review-ios,2022-10-07T02:42:45.841Z,0,True,"Moisture best juga yg pernah aku coba. Dia thick dan lengket tp bener2 bikin kulit lembab, tekstur kulit yang gradakan karena terlalu sering berjerawat bisa rata efek rangkaian snail cosrx. Aku pake kalau malam hari karena klo untuk pagi hari dia terlalu thick untuk kulit yang akan di timpa makeup. Udah repurchase 5x lebih 👍",1 - 3 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
_ditamelania,False,Super Star,5c9c8eedd713380006f4a196,Kulit Berminyak,19 - 24 th,yes,yes,5.0,3,5.0,4,review-android,2022-10-07T01:55:44.287Z,0,True,"udah repurchase ke tiga, dia moisturizer enak pakai banget buat dry skin karena super lembap banget, sangat amat membantu buat kulit kering yg ngelupas karena dia juga bantu repair skin barrier.",More than 1 Year,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
evatessalonica,False,SOCO Star,62a6af7a8cc3a69963b4cda6,Kulit Kombinasi;Stretch Mark;Kulit Kusam;Kantung Mata;Dark Circle,19 - 24 th,yes,yes,5.0,5,5.0,5,review-android,2022-10-06T05:03:26.145Z,0,True,"this is my first time pake ini, langsung suka banget karena nyaman dipake dan nggak lengket dikulit. bikin lembab dan plumpy. irit bgt dan worth to buy buat harga segitu awet sampe berbulan-bulan. i love it!",1 - 3 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
cynthiarsnti,False,Rising Star,5c1ac19c3b351a3320fb2d84,Kulit Kombinasi;Kulit Sensitif;Jerawat;Pori Besar;Dark Circle;Komedo,25 - 29 th,yes,yes,5.0,5,5.0,5,review-ios,2022-10-05T11:09:14.700Z,0,True,Bagus banget cukup ngelembabin muka. Dan bagus juga buat mukaku yg sensitif. Calm in muka yang lg jerawatan dpt bgt efeknya. Akan re purchase lagi. Sale lg dong cosrx hihi😂,3 - 6 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
aignc,False,Super Star,5d1bf5fccf3acd00053a9050,Kulit Berminyak;Kulit Kombinasi;Jerawat;Pori Besar,19 - 24 th,yes,yes,4.0,5,5.0,4,review-android,2022-10-05T11:01:53.445Z,0,True,"Sudah lumayan lama pakai ini, awalnya takut gak ngaruh tapi ternyata beneran ngaruh buat tekstur bahkan buat jerawat. sekarang jadi jarang jerawatan, makanya repurchase huhu",1 - 3 Months,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
elvxna,False,Rising Star,631ed97630307eb6a49e7ea9,Kulit Berminyak;Jerawat;Komedo,19 - 24 th,yes,yes,5.0,5,5.0,5,review-android,2022-10-05T10:22:41.864Z,0,True,"mukaku udh ada bopeng dari bbrp tahun lalu, abis pake ini kliatan tekstur kulit pipi jd lebih berisi gtu. smoga dgn rutin pake bopengnya akan memudar!",Less than 1 Week,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
antarespalupi,False,Rising Star,5c7c9c6d92a13c0005892e64,Kulit Kering;Aging,35 - 39 th,yes,yes,5.0,5,5.0,5,review-android,2022-10-05T00:16:21.539Z,0,True,selalu repurchase. karena sesuka itu. ini adalah produk yang paling diandalkan untuk berikan moisture di kulit. Dan closing setelah rangkaian skincare untuk mengunci kelembaban.,More than 1 Year,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
Rosaliaevitaw,False,SOCO Star,5d1d4d381938ac000537c177,Kulit Kering;Kulit Sensitif,19 - 24 th,yes,yes,5.0,3,5.0,5,review-android,2022-10-04T13:54:24.470Z,0,False,"sukaaa bgtt sm produk ini sumpaah!! udah repurchase 2x. Mau beli ini lagi tapi di sociolla lagi kosong huhu sedih, jadi mau nyoba yg cosrx intensive cream hyaluronic acid. Ini cosrx gamau ngadain versi pump apa ya? 2x beli ini, 2x juga tumpah. Worth the price bgttt karna beneran awet setahun woiii",More than 1 Year,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
ratihliem,False,Rising Star,5ce8106ba8bf5400068e5568,Kulit Berminyak;Cellulite;Flek;Pori Besar;Kulit Kusam;Kantung Mata;Komedo,30 - 34 th,yes,yes,5.0,5,5.0,5,review-android,2022-10-04T06:27:16.946Z,0,True,awalnya coba coba. ini pembelian kedua. kalo di saya sih mungkin karena jarang di gunakan jadi ga terlalu berasa. tapi kebetulan adek yang habis ospek make eh dia cocok. bruntusannya juga hilang dan mukanya jadi glowing gitu,1 - 3 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
littleblackbird,False,Diva Star,609d5a339fe7e7153247aa4a,Kulit Kombinasi;Kulit Sensitif;Jerawat;Dark Circle;Komedo,25 - 29 th,yes,yes,5.0,5,5.0,5,soco-web-desktop,2022-10-02T16:01:54.451Z,1,True,"Udah repurchase berulang kali, bagus untuk all skin type tapi terutama dry, dehydrated dan mature skin. Untuk combo/oily skin, penggunaan di siang hari disarankan sedikit aja dan bisa digunakan lebih banyak di malam hari karena teksturnya yang kental dan memberi efek occlusive. Dari segi harga, ini ekonomis banget dan bisa awet 2-3 bulan lebih untuk aku yang combo-sensitive, acne prone skin.",1 - 3 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
staciadani,False,Rising Star,5d524a3e828dbf0005806790,Pori Besar;Kulit Kombinasi,25 - 29 th,yes,yes,5.0,5,5.0,3,review-android,2022-10-02T11:26:02.083Z,0,True,"ini udah kedua kalinya repurchase. gokil banget make ini, muka glowing say. emang agak mahal tapi awet aseli gak boong, ditambah make essencenya jadi beuh mantep dah. cuma agak lama resep dikulit, no problem buatku",More than 1 Year,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
usywicaksono,False,Rising Star,5fe238b8a5aeb22d95f2e105,Kulit Kombinasi;Kulit Kusam;Kantung Mata;Dark Circle;Komedo,19 - 24 th,no,yes,5.0,5,3.0,4,review-android,2022-10-02T03:33:18.295Z,0,True,"bagus sihh, muka jadi glowing gitu, cuma aku kurang suka sama teksturnyaa, meskipun ada sensasi dingin yang bisa nenangin kulit tapi kerasa berat di aku, agak thick tapi cepet meresap",1 - 3 Months,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
DayuMirah,False,Rising Star,5cc5c131a49ae00007ddcb1d,Kulit Berminyak;Jerawat;Aging;Flek;Pori Besar;Kulit Kusam;Dark Circle;Komedo,25 - 29 th,yes,yes,4.0,4,4.0,5,review-android,2022-10-01T23:57:04.256Z,0,True,kulitku berminyak kalau pakai ini tambah berminyak sih jadi aku kasih ke kk dan ibuku yg kulit normal dan kombinasi . mereka sangat suka produk ini dan skrg tambah kinclong kulit ibuku yg umur 62 th,3 - 6 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
safinarahma,False,Super Star,5c1aad813b351a3320bc166f,Kulit Kering,25 - 29 th,maybe,yes,3.0,4,4.0,3,review-ios,2022-09-30T23:14:21.192Z,0,True,"Produk yang disukai banger banyak orang tapi kurang begitu cocok di aku. Buat aku yang kulitnya kering, produk ini kurang melembabkan. Harus dimix sama produk lain yang lebih melembabkan. Pakainya pun harus cukup banyak.",3 - 6 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
AneuKencanawungu,False,Super Star,6305571f2ba37f7c0de47799,Kulit Kering;Skin Tightening;Aging;Kulit Kusam;Kantung Mata;Komedo,> 40 th,yes,yes,5.0,5,5.0,5,review-android,2022-09-30T12:15:52.796Z,0,True,rekomeendeeeed bangeeettt buat kulit kering meletek2 alias ngelupas2 jd lbh glwing dan keliatan sehat. pemakaian baru seminggu lebih tp udah keliatan hasilnya,Less than 1 Week,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
soraya252627,False,Diva Star,5f16e6c8d00e487c9efab4e8,,35 - 39 th,yes,yes,5.0,5,5.0,5,review-android,2022-09-30T06:11:12.166Z,0,True,"pelembab paling oke menurut aku ya ini..sempet beberapa kali ganti ke lain merk tapi ujung2nya balik lagi ke sini. karena sesuka dan sebagus itu sih menurut aku yaaa...ga lengket,bener2 bikin kulit lembab. aku pakai pagi,siang dan malam..TOP lah pokonya",More than 1 Year,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
nonienonce,False,Super Star,5c1abda83b351a3320f33cac,Kulit Normal;Kulit Kering;Aging;Flek;Pori Besar;Kulit Kusam;Dark Circle;Komedo,30 - 34 th,maybe,yes,4.0,5,4.0,4,review-android,2022-09-29T22:34:28.235Z,0,True,"Pertama kali pakai produk ini. melembabkan bgt tp di kulitku masih lebih ngefek yg enriched cream. apalagi kalau lg kering bgt, enriched cream juara. tp produk ini dipake pagi sebelum sunscreen melembabkan bgt. mantul. kulit jd inyoy hehe",1 - 3 Months,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
Anzaltaaa,False,SOCO Star,5ec4d1b1154bce0507935702,Kulit Kombinasi;Jerawat;Kantung Mata;Dark Circle,19 - 24 th,yes,yes,5.0,5,5.0,5,review-ios,2022-09-28T15:04:15.506Z,0,True,Baru pertama coba semoga bagus dan cocok di kulit aku sejauh ini sih bagus cosrx dan udh pake 2 thn ini produk cosrx ini coba yg cream nya packaging nya bagus,Less than 1 Week,6383,Advanced Snail 92 All in One Cream,100 ml,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
Alyamileniaaa,False,SOCO Star,5e670496c9a83221ab8cbac5,Kulit Kering;Kulit Sensitif,19 - 24 th,yes,yes,5.0,5,5.0,5,review-android,2022-09-28T15:00:25.971Z,0,True,suka bgt sama produk nyaa !!! cocok bgt di kulit aku yg kering . ngebantu bgt buat ngelembapin wajah yg kering. buat kalian yg punya kulit kering rekomendasi bgt sih produk ini,Less than 1 Week,6383,Advanced Snail 92 All in One Cream,,review_6383_10276-advanced-snail-92-all-in-one-cream.csv
